,max_degree,max_degree,avg_degree,avg_degree,degree_variance,degree_variance,gini_coefficient,gini_coefficient,avg_clustering,avg_clustering,char_path_length,char_path_length,power_law_exponent,power_law_exponent,assortativity,assortativity,degree_centralization,degree_centralization
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
alpha,,,,,,,,,,,,,,,,,,
1.0,109.4,11.704250240156801,6.03,0.0,65.9718,5.481338456406813,0.38061739635157543,0.0043173526703192905,0.04704983219152551,0.00559221390062578,3.379034134134134,0.03349844756073533,1.6823085411469905,0.046836044491792905,-0.05739644376976143,0.01319197335041587,0.10368083514376136,0.011739445096556575
2.0,826.0,65.94415500214838,6.03,0.0,1763.1284000000007,202.59974865290712,0.49919223880597013,0.00031827401462406466,0.9396424378767756,0.008614748640168784,2.0423637637637637,0.024561917405678892,0.6416735756490046,0.052576935048837946,-0.7115666778322096,0.043564804538435954,0.8224356621150175,0.06614245006745063
3.0,975.1,19.327918176892016,6.03,0.0,2685.894600000001,117.00408170995348,0.5007568325041459,5.544611226438535e-05,0.990367942195767,0.0012987192314677396,1.9971777777777777,0.002678839333300999,0.4486831075842869,0.05362310819516474,-0.9013956920086734,0.026838911371023382,0.9719840080561519,0.01938603751736833
4.0,988.95,11.052387215343796,6.03,0.0,2843.8908000000015,67.36434949788858,0.5008489552238806,2.6856596999530196e-05,0.9934099411939247,0.0005390793267372257,1.9960502502502504,0.002374790294863061,0.4467317985156428,0.057016594933711216,-0.9469664214054985,0.016635114352786667,0.9858756552143296,0.01108562190983002
