initial_nodes,final_nodes,edges_per_step,avg_clustering,char_path_length,total_edges,avg_degree
15,200,3,0.25122379209053625,2.668643216080402,660,6.6
20,200,3,0.34710964313419806,2.6342211055276383,730,7.3
20,300,1,0.02866461096929833,3.2714158305462653,470,3.1333333333333333
5,500,1,0.00044629965718894936,5.844008016032064,505,2.02
5,200,3,0.10012307338685415,2.8784422110552765,595,5.95
10,300,1,0.005236773240174172,4.1298104793756965,335,2.2333333333333334
10,300,3,0.11970232275318966,2.913890746934225,915,6.1
10,500,3,0.0573331917280519,3.186124248496994,1515,6.06
5,300,1,0.0007524589789295672,5.179777034559644,305,2.033333333333333
10,300,1,0.00469421815388507,4.002742474916388,335,2.2333333333333334
5,200,3,0.11315130784937935,2.8428643216080403,595,5.95
15,200,3,0.22812379989647133,2.654824120603015,660,6.6
10,300,5,0.1295319740102108,2.5734448160535117,1495,9.966666666666667
15,100,1,0.09231332438668555,3.1236363636363635,190,3.8
20,300,1,0.02704623039673921,3.2408472686733556,470,3.1333333333333333
5,300,2,0.056211775988476896,3.471928651059086,600,4.0
15,200,5,0.19489808434416703,2.43678391959799,1030,10.3
20,100,1,0.1435553446553447,2.6622222222222223,270,5.4
